fecha,ultimo,apertura,maximo,minimo,vol,variacion
2020-04-30,"23,250","24,350","24,720","23,220","7,26M","-3,49%"
2020-04-29,"24,090","23,400","24,200","22,960","3,63M","3,30%"
2020-04-28,"23,320","23,790","23,900","23,050","3,32M","-1,93%"
2020-04-27,"23,780","23,600","23,850","23,550","2,10M","3,44%"
2020-04-24,"22,990","23,250","23,370","22,750","3,05M","-1,96%"
2020-04-23,"23,450","24,330","24,390","23,360","2,93M","-2,29%"
2020-04-22,"24,000","24,370","24,470","24,000","2,61M","-1,44%"
2020-04-21,"24,350","24,600","24,900","24,350","2,27M","-2,83%"
2020-04-20,"25,060","25,720","25,740","24,530","2,23M","-1,92%"
2020-04-17,"25,550","24,920","26,270","24,900","4,74M","4,41%"
2020-04-16,"24,470","25,810","25,930","24,110","3,43M","-5,01%"
2020-04-15,"25,760","25,840","26,170","25,180","4,54M","-2,28%"
2020-04-14,"26,360","25,500","26,710","25,490","6,12M","4,35%"
2020-04-09,"25,260","24,740","25,730","24,220","3,29M","3,78%"
2020-04-08,"24,340","24,250","24,550","23,960","3,60M","-0,61%"
2020-04-07,"24,490","23,850","25,080","23,850","4,15M","5,11%"
2020-04-06,"23,300","22,630","23,690","22,500","3,20M","6,01%"
2020-04-03,"21,980","21,900","22,180","21,660","3,44M","0,46%"
2020-04-02,"21,880","22,540","22,790","21,560","4,58M","-2,80%"
2020-04-01,"22,510","23,410","23,630","22,390","3,91M","-4,86%"
