fecha,ultimo,apertura,maximo,minimo,vol,variacion,deuda_publica,ipc,tasa_paro,pib
2009-02-11,"32,350","32,010","32,350","32,000",,"-0,71%","457.305,24","0,66","17,24","-2,58"
2009-02-12,"30,230","31,860","31,950","30,230",,"-6,55%","457.305,24","0,66","17,24","-2,58"
2009-02-13,"31,940","31,250","31,940","31,100",,"5,66%","457.305,24","0,66","17,24","-2,58"
2009-02-16,"30,850","31,390","31,570","30,850",,"-3,41%","457.305,24","0,66","17,24","-2,58"
2009-02-17,"29,500","31,220","31,400","29,500",,"-4,38%","457.305,24","0,66","17,24","-2,58"
2009-02-18,"29,470","30,000","30,280","29,470",,"-0,10%","457.305,24","0,66","17,24","-2,58"
2009-02-19,"30,760","29,800","30,760","29,700",,"4,38%","457.305,24","0,66","17,24","-2,58"
2009-02-20,"29,100","29,750","30,000","29,100",,"-5,40%","457.305,24","0,66","17,24","-2,58"
2009-02-25,"28,820","29,880","30,030","28,820",,"-0,96%","457.305,24","0,66","17,24","-2,58"
2009-02-26,"29,830","29,190","29,830","29,020",,"3,50%","457.305,24","0,66","17,24","-2,58"
2009-02-27,"30,130","29,160","30,130","28,930",,"1,01%","457.305,24","0,66","17,24","-2,58"
2009-03-06,"24,040","25,150","25,440","24,040",,"-20,21%","473.710,18","-0,06","17,24","-2,58"
2009-03-09,"24,140","24,500","24,590","24,140",,"0,42%","473.710,18","-0,06","17,24","-2,58"
2009-03-10,"25,520","25,000","25,520","24,270",,"5,72%","473.710,18","-0,06","17,24","-2,58"
2009-03-11,"26,280","25,240","26,280","25,050",,"2,98%","473.710,18","-0,06","17,24","-2,58"
2009-03-12,"25,210","26,190","26,190","25,210",,"-4,07%","473.710,18","-0,06","17,24","-2,58"
2009-03-13,"25,510","26,300","26,700","25,510",,"1,19%","473.710,18","-0,06","17,24","-2,58"
2009-03-16,"26,340","26,180","26,340","25,630",,"3,25%","473.710,18","-0,06","17,24","-2,58"
2009-03-17,"26,600","25,910","26,600","25,860",,"0,99%","473.710,18","-0,06","17,24","-2,58"
2009-03-18,"26,620","26,800","27,480","26,620",,"0,08%","473.710,18","-0,06","17,24","-2,58"
2009-03-19,"28,900","27,250","28,900","26,800",,"8,56%","473.710,18","-0,06","17,24","-2,58"
2009-03-20,"27,690","26,950","27,690","26,520",,"-4,19%","473.710,18","-0,06","17,24","-2,58"
2009-04-01,"30,680","30,020","30,680","30,020",,"10,80%","486.588,49","-0,16","17,77","-0,03"
2009-04-02,"33,000","31,020","33,000","31,020",,"7,56%","486.588,49","-0,16","17,77","-0,03"
2009-04-03,"32,640","31,960","32,640","31,710",,"-1,09%","486.588,49","-0,16","17,77","-0,03"
