"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"16.03.2020","20,170","19,950","20,770","18,505","12,47M","-5,31%"
"13.03.2020","21,300","24,850","24,850","20,360","9,85M","1,09%"
"12.03.2020","21,070","22,110","22,920","20,450","11,06M","-10,53%"
"11.03.2020","23,550","24,380","24,560","23,340","8,09M","-3,17%"
"10.03.2020","24,320","25,620","25,890","24,160","6,22M","-4,66%"
"09.03.2020","25,510","25,080","26,100","24,470","10,44M","-4,96%"
"06.03.2020","26,840","27,200","27,280","26,590","5,21M","-3,07%"
"05.03.2020","27,690","28,360","28,480","27,500","4,48M","-2,02%"
"04.03.2020","28,260","27,890","28,500","27,730","3,69M","1,22%"
"03.03.2020","27,920","28,270","28,600","27,710","4,70M","0,04%"
"02.03.2020","27,910","28,480","28,790","27,660","4,77M","-0,78%"
"28.02.2020","28,130","27,180","28,230","26,940","11,02M","0,11%"
"27.02.2020","28,100","28,660","28,700","27,670","5,95M","-3,93%"
"26.02.2020","29,250","29,070","29,350","28,240","3,75M","-0,20%"
"25.02.2020","29,310","29,720","29,720","29,120","5,31M","-1,05%"
"24.02.2020","29,620","30,800","30,850","29,450","4,69M","-6,24%"
"21.02.2020","31,590","31,510","32,040","31,440","2,27M","0,03%"
"20.02.2020","31,580","32,180","32,280","31,470","3,40M","-1,56%"
"19.02.2020","32,080","31,780","32,140","31,660","2,16M","1,20%"
"18.02.2020","31,700","31,300","31,790","31,290","2,27M","0,70%"
"17.02.2020","31,480","31,500","31,570","31,240","2,28M","0,16%"
"14.02.2020","31,430","31,050","31,560","31,050","2,18M","0,58%"
"13.02.2020","31,250","31,450","31,460","30,730","3,00M","-0,79%"
"12.02.2020","31,500","31,870","31,980","31,460","2,61M","-1,56%"
"11.02.2020","32,000","31,920","32,020","31,790","2,84M","0,47%"
"10.02.2020","31,850","31,830","31,850","31,610","1,30M","-0,13%"
"07.02.2020","31,890","31,890","31,950","31,620","2,23M","-0,22%"
"06.02.2020","31,960","31,550","32,050","31,440","2,77M","1,69%"
"05.02.2020","31,430","31,310","31,520","30,990","2,49M","0,54%"
"04.02.2020","31,260","30,720","31,480","30,710","3,09M","2,32%"
"03.02.2020","30,550","30,450","30,670","30,330","2,04M","0,59%"
"31.01.2020","30,370","30,990","31,150","30,340","3,30M","-1,78%"
"30.01.2020","30,920","30,720","31,160","30,650","2,21M","-0,35%"
"29.01.2020","31,030","30,880","31,040","30,790","2,22M","0,32%"
"28.01.2020","30,930","30,460","31,000","30,330","2,38M","1,54%"
"27.01.2020","30,460","30,740","30,960","30,360","2,34M","-2,18%"
"24.01.2020","31,140","31,110","31,620","31,030","2,36M","0,39%"
"23.01.2020","31,020","30,870","31,270","30,850","4,68M","-0,03%"
"22.01.2020","31,030","31,300","31,310","30,780","2,03M","-0,80%"
"21.01.2020","31,280","30,930","31,290","30,730","4,08M","0,32%"
"20.01.2020","31,180","31,580","31,700","31,130","2,15M","-1,80%"
"17.01.2020","31,750","31,380","31,790","31,380","4,27M","1,50%"
"16.01.2020","31,280","31,380","31,440","31,160","3,85M","-0,32%"
"15.01.2020","31,380","31,600","31,690","31,150","3,12M","-0,38%"
"14.01.2020","31,500","31,450","31,700","31,210","2,65M","-0,28%"
"13.01.2020","31,590","31,630","31,720","31,390","2,24M","0,06%"
"10.01.2020","31,570","31,870","31,990","31,570","1,89M","-0,94%"
"09.01.2020","31,870","32,080","32,190","31,830","2,55M","-0,41%"
"08.01.2020","32,000","31,720","32,100","31,640","2,75M","0,22%"
"07.01.2020","31,930","31,600","31,990","31,600","2,52M","1,27%"
"06.01.2020","31,530","31,580","31,680","31,320","3,29M","-0,88%"
"03.01.2020","31,810","31,510","31,810","31,480","3,36M","0,19%"
"02.01.2020","31,750","31,750","31,920","31,550","2,05M","0,95%"
"31.12.2019","31,450","31,520","31,710","31,160","726,01K","-0,94%"
"30.12.2019","31,750","32,090","32,160","31,730","1,64M","-1,24%"
"27.12.2019","32,150","31,890","32,190","31,670","3,02M","1,20%"
"24.12.2019","31,770","31,460","31,770","31,350","754,88K","0,35%"
"23.12.2019","31,660","31,390","31,700","31,320","1,93M","0,73%"
"20.12.2019","31,430","31,260","31,470","31,110","5,50M","0,51%"
"19.12.2019","31,270","31,100","31,300","31,000","4,13M","0,55%"
"18.12.2019","31,100","30,960","31,240","30,820","4,49M","0,23%"
"17.12.2019","31,030","30,970","31,240","30,880","4,21M","-0,23%"
"16.12.2019","31,100","30,690","31,130","30,450","3,27M","1,80%"
