fecha,per,bpa,rentabilidad_por_dividendo,precio_div_cash_flow,precio_valor_contable,ebitda,b_neto
2020-05-04,"27,47","0,85","2,02","15,6","4,61","6.304,71","2.657,87"
2020-05-05,"27,47","0,85","2,01","15,6","4,61","6.304,71","2.657,87"
2020-05-06,"27,47","0,85","1,98","15,6","4,61","6.304,71","2.657,87"
2020-05-07,"27,47","0,85","1,88","15,6","4,61","6.304,71","2.657,87"
2020-05-12,"27,52","0,84","1,81","15,52","4,8","6.335,61","2.606,11"
2020-05-13,"27,52","0,84","1,87","15,52","4,8","6.335,61","2.606,11"
2020-05-14,"27,52","0,84","1,95","15,52","4,8","6.335,61","2.606,11"
2020-05-15,"27,52","0,84","1,96","15,52","4,8","6.335,61","2.606,11"
2020-05-18,"27,52","0,84","1,87","15,52","4,8","6.335,61","2.606,11"
2020-05-19,"27,52","0,84","1,91","15,52","4,8","6.335,61","2.606,11"
2020-05-20,"27,52","0,84","1,88","15,52","4,8","6.335,61","2.606,11"
2020-05-21,"27,52","0,84","1,89","15,52","4,8","6.335,61","2.606,11"
2020-05-22,"27,52","0,84","1,90","15,52","4,8","6.335,61","2.606,11"
2020-05-26,"33,07","0,7","1,85","20,82","4,78",5.550,"2.223,02"
2020-05-27,"33,07","0,7","1,80","20,82","4,78",5.550,"2.223,02"
2020-05-28,"33,07","0,7","1,74","20,82","4,78",5.550,"2.223,02"
2020-05-29,"33,07","0,7","1,76","20,82","4,78",5.550,"2.223,02"
