fecha,ultimo,apertura,maximo,minimo,vol,variacion
2020-08-31,"6,622","6,980","7,048","6,622","7,83M","-4,06%"
2020-08-28,"6,902","6,958","6,986","6,880","4,66M","0,29%"
2020-08-27,"6,882","6,848","6,966","6,780","5,27M","0,35%"
2020-08-26,"6,858","6,770","6,942","6,728","4,77M","0,97%"
2020-08-25,"6,792","6,950","7,058","6,776","8,01M","-2,05%"
2020-08-24,"6,934","6,686","6,950","6,642","8,13M","4,81%"
2020-08-21,"6,616","6,700","6,730","6,558","10,99M","-1,14%"
2020-08-20,"6,692","6,704","6,784","6,670","9,61M","-1,88%"
2020-08-19,"6,820","6,734","6,820","6,686","16,35M","0,95%"
2020-08-18,"6,756","6,820","6,924","6,712","5,67M","-1,26%"
2020-08-17,"6,842","6,966","7,036","6,826","8,11M","-2,09%"
2020-08-14,"6,988","7,040","7,042","6,866","7,64M","-0,94%"
2020-08-13,"7,054","7,180","7,230","7,054","6,99M","-2,00%"
2020-08-12,"7,198","7,070","7,236","7,022","8,47M","1,04%"
2020-08-11,"7,124","6,874","7,294","6,872","10,39M","4,73%"
2020-08-10,"6,802","6,752","6,900","6,716","6,78M","1,89%"
2020-08-07,"6,676","6,792","6,830","6,664","7,54M","-1,82%"
2020-08-06,"6,800","7,000","7,020","6,782","8,64M","-3,66%"
2020-08-05,"7,058","7,000","7,108","6,954","8,40M","2,05%"
2020-08-04,"6,916","6,762","6,964","6,750","10,62M","3,32%"
2020-08-03,"6,694","6,580","6,716","6,462","10,39M","1,73%"
