fecha,ultimo,apertura,maximo,minimo,vol,variacion
2020-03-16,"6,774","7,322","7,376","6,520","39,74M","-10,18%"
2020-03-13,"7,542","8,222","8,280","7,412","17,69M","4,63%"
2020-03-12,"7,208","8,008","8,022","7,162","41,43M","-13,34%"
2020-03-11,"8,318","8,438","8,530","8,242","28,38M","0,46%"
2020-03-10,"8,280","8,294","9,022","8,148","23,65M","1,62%"
2020-03-09,"8,148","8,000","8,506","7,958","35,55M","-15,13%"
2020-03-06,"9,600","10,000","10,000","9,600","16,59M","-4,86%"
2020-03-05,"10,090","10,355","10,355","10,030","15,77M","-1,94%"
2020-03-04,"10,290","10,385","10,435","10,170","12,70M","-0,58%"
2020-03-03,"10,350","10,470","10,675","10,280","10,56M","1,32%"
2020-03-02,"10,215","10,510","10,515","9,972","19,08M","0,84%"
2020-02-28,"10,130","10,185","10,330","10,015","32,61M","-3,62%"
2020-02-27,"10,510","10,720","10,725","10,270","14,31M","-3,27%"
2020-02-26,"10,865","10,855","10,980","10,725","13,70M","-0,91%"
2020-02-25,"10,965","11,370","11,370","10,925","18,95M","-3,09%"
2020-02-24,"11,315","11,705","11,720","11,215","16,40M","-5,35%"
2020-02-21,"11,955","12,240","12,240","11,900","17,00M","-2,77%"
2020-02-20,"12,295","12,285","12,530","12,260","13,92M","-0,45%"
2020-02-19,"12,350","12,480","12,480","12,275","13,16M","0,04%"
2020-02-18,"12,345","12,500","12,535","12,340","7,08M","-1,44%"
2020-02-17,"12,525","12,565","12,650","12,515","5,10M","-0,99%"
2020-02-14,"12,650","12,685","12,770","12,620","3,68M","-0,12%"
2020-02-13,"12,665","12,750","12,750","12,545","5,69M","-0,82%"
2020-02-12,"12,770","12,785","12,895","12,760","6,46M","0,20%"
2020-02-11,"12,745","12,680","12,750","12,610","5,19M","1,23%"
2020-02-10,"12,590","12,750","12,765","12,590","6,96M","-1,29%"
2020-02-07,"12,755","12,830","12,830","12,710","5,93M","-0,55%"
2020-02-06,"12,825","12,930","12,970","12,745","22,07M","0,23%"
2020-02-05,"12,795","12,545","12,925","12,490","13,48M","1,71%"
2020-02-04,"12,580","12,380","12,595","12,350","8,25M","2,40%"
2020-02-03,"12,285","12,465","12,475","12,285","10,60M","-1,44%"
2020-01-31,"12,465","12,680","12,680","12,410","6,87M","-0,91%"
2020-01-30,"12,580","12,675","12,740","12,540","9,87M","-1,68%"
2020-01-29,"12,795","12,890","12,920","12,700","15,20M","0,20%"
2020-01-28,"12,770","12,710","12,820","12,590","10,67M","0,95%"
2020-01-27,"12,650","12,935","12,935","12,650","8,91M","-3,44%"
2020-01-24,"13,100","13,125","13,230","13,090","7,41M","-0,23%"
2020-01-23,"13,130","13,500","13,500","13,045","11,77M","-3,46%"
2020-01-22,"13,600","13,800","13,810","13,600","7,77M","-1,27%"
2020-01-21,"13,775","13,855","13,855","13,715","20,15M","-1,04%"
2020-01-20,"13,920","14,065","14,075","13,865","7,74M","-0,85%"
2020-01-17,"14,040","14,200","14,240","14,015","4,28M","-0,74%"
2020-01-16,"14,145","14,090","14,265","14,075","4,09M","0,32%"
2020-01-15,"14,100","14,215","14,240","14,045","4,02M","-0,95%"
2020-01-14,"14,235","14,245","14,280","14,175","5,80M","-0,07%"
2020-01-13,"14,245","14,350","14,350","14,135","8,26M","-0,52%"
2020-01-10,"14,320","14,250","14,405","14,135","3,76M","1,06%"
2020-01-09,"14,170","14,400","14,405","14,160","9,15M","-1,32%"
2020-01-08,"14,360","14,230","14,375","14,155","4,66M","0,91%"
2020-01-07,"14,230","14,365","14,420","14,230","6,81M","-0,84%"
2020-01-06,"14,350","14,260","14,475","14,260","3,96M","0,77%"
2020-01-03,"14,240","14,105","14,280","14,060","4,77M","1,24%"
2020-01-02,"14,065","14,030","14,135","13,975","5,58M","0,97%"
2019-12-31,"13,930","14,100","14,100","13,930","2,22M","-1,38%"
2019-12-30,"14,125","14,180","14,200","14,125","2,01M","-0,53%"
2019-12-27,"14,200","14,155","14,265","14,130","2,95M","0,32%"
2019-12-24,"14,155","14,155","14,155","14,040","1,26M","0,04%"
2019-12-23,"14,150","14,040","14,150","14,020","3,91M","0,46%"
2019-12-20,"14,085","13,955","14,095","13,955","22,04M","0,75%"
2019-12-19,"13,980","13,965","14,000","13,910","6,12M","0,00%"
2019-12-18,"13,980","13,960","14,115","13,945","8,82M","0,14%"
2019-12-17,"13,960","14,055","14,125","13,955","6,34M","-0,11%"
2019-12-16,"13,976","14,015","14,044","13,923","6,10M","0,52%"
2019-12-13,"13,904","14,073","14,107","13,865","7,43M","-0,34%"
2019-12-12,"13,952","13,967","14,015","13,763","8,37M","0,17%"
2019-12-11,"13,928","13,986","14,040","13,923","5,32M","0,00%"
2019-12-10,"13,928","13,981","14,015","13,812","5,34M","-0,76%"
2019-12-09,"14,035","14,229","14,234","14,006","5,06M","-1,20%"
2019-12-06,"14,205","13,962","14,253","13,923","5,89M","-0,94%"
2019-12-05,"14,340","14,410","14,500","14,330","8,46M","-0,07%"
2019-12-04,"14,350","14,090","14,390","14,090","12,60M","1,81%"
2019-12-03,"14,095","14,100","14,130","13,975","7,68M","-0,35%"
2019-12-02,"14,145","14,310","14,415","14,080","6,24M","-1,01%"
2019-11-29,"14,290","14,360","14,435","14,250","4,25M","-0,80%"
2019-11-28,"14,405","14,485","14,525","14,385","4,33M","-0,66%"
2019-11-27,"14,500","14,665","14,670","14,470","3,34M","-0,62%"
2019-11-26,"14,590","14,690","14,690","14,550","15,23M","-0,61%"
2019-11-25,"14,680","14,700","14,750","14,635","3,49M","0,55%"
2019-11-22,"14,600","14,470","14,700","14,470","5,35M","1,07%"
2019-11-21,"14,445","14,455","14,505","14,365","5,19M","-0,69%"
2019-11-20,"14,545","14,550","14,590","14,380","4,47M","-0,48%"
