fecha,ultimo,apertura,maximo,minimo,vol,variacion,deuda_publica,ipc,tasa_paro,pib
2007-01-02,"26,630","26,310","26,850","26,290","21,88M","1,64%","386.616,27","2,39","8,42","0,91"
2007-01-03,"26,550","26,630","26,810","26,370","12,66M","-0,30%","386.616,27","2,39","8,42","0,91"
2007-01-04,"26,530","26,250","26,550","26,000","20,71M","-0,08%","386.616,27","2,39","8,42","0,91"
2007-01-05,"26,040","26,530","26,530","25,900","15,00M","-1,85%","386.616,27","2,39","8,42","0,91"
2007-01-08,"25,950","26,040","26,290","25,900","7,32M","-0,35%","386.616,27","2,39","8,42","0,91"
2007-01-09,"25,470","25,950","25,950","25,220","26,06M","-1,85%","386.616,27","2,39","8,42","0,91"
2007-01-10,"25,220","25,470","25,470","25,100","36,49M","-0,98%","386.616,27","2,39","8,42","0,91"
2007-01-11,"25,250","24,860","25,280","24,730","10,16M","0,12%","386.616,27","2,39","8,42","0,91"
2007-01-12,"25,220","25,060","25,460","25,010","23,55M","-0,12%","386.616,27","2,39","8,42","0,91"
2007-01-15,"25,400","25,220","25,690","25,220","6,70M","0,71%","386.616,27","2,39","8,42","0,91"
2007-01-16,"24,950","25,400","25,480","24,820","33,04M","-1,77%","386.616,27","2,39","8,42","0,91"
2007-01-17,"24,790","24,950","25,030","24,510","14,98M","-0,64%","386.616,27","2,39","8,42","0,91"
2007-01-18,"24,720","24,790","25,000","24,560","17,67M","-0,28%","386.616,27","2,39","8,42","0,91"
2007-01-19,"24,780","24,720","24,900","24,510","35,13M","0,24%","386.616,27","2,39","8,42","0,91"
2007-01-22,"24,710","24,780","25,000","24,640","21,06M","-0,28%","386.616,27","2,39","8,42","0,91"
2007-01-23,"24,700","24,600","24,890","24,550","6,30M","-0,04%","386.616,27","2,39","8,42","0,91"
2007-01-24,"25,190","24,700","25,340","24,700","23,34M","1,98%","386.616,27","2,39","8,42","0,91"
2007-01-25,"25,070","25,190","25,380","25,010","5,61M","-0,48%","386.616,27","2,39","8,42","0,91"
2007-01-26,"24,900","25,070","25,070","24,780","14,65M","-0,68%","386.616,27","2,39","8,42","0,91"
2007-01-29,"24,870","24,900","25,040","24,810","3,42M","-0,12%","386.616,27","2,39","8,42","0,91"
2007-01-30,"25,140","24,930","25,290","24,760","5,75M","1,09%","386.616,27","2,39","8,42","0,91"
2007-01-31,"25,140","25,140","25,400","24,990","6,13M","0,00%","386.616,27","2,39","8,42","0,91"
2007-02-01,"25,280","25,500","25,550","25,200","7,97M","0,56%","387.285,28","2,41","8,42","0,91"
2007-02-02,"25,350","25,400","25,470","25,210","4,29M","0,28%","387.285,28","2,41","8,42","0,91"
2007-02-05,"25,640","25,350","25,680","25,200","6,00M","1,14%","387.285,28","2,41","8,42","0,91"
2007-02-06,"25,510","25,700","25,800","25,400","15,74M","-0,51%","387.285,28","2,41","8,42","0,91"
2007-02-07,"25,430","25,510","25,550","25,250","8,17M","-0,31%","387.285,28","2,41","8,42","0,91"
2007-02-08,"25,270","25,400","25,400","25,160","5,60M","-0,63%","387.285,28","2,41","8,42","0,91"
2007-02-09,"25,310","25,270","25,470","25,270","3,64M","0,16%","387.285,28","2,41","8,42","0,91"
2007-02-12,"25,180","25,200","25,220","25,050","4,55M","-0,51%","387.285,28","2,41","8,42","0,91"
2007-02-13,"25,390","25,180","25,420","25,180","11,45M","0,83%","387.285,28","2,41","8,42","0,91"
