"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"16.03.2020","6,774","7,322","7,376","6,520","39,74M","-10,18%"
"13.03.2020","7,542","8,222","8,280","7,412","17,69M","4,63%"
"12.03.2020","7,208","8,008","8,022","7,162","41,43M","-13,34%"
"11.03.2020","8,318","8,438","8,530","8,242","28,38M","0,46%"
"10.03.2020","8,280","8,294","9,022","8,148","23,65M","1,62%"
"09.03.2020","8,148","8,000","8,506","7,958","35,55M","-15,13%"
"06.03.2020","9,600","10,000","10,000","9,600","16,59M","-4,86%"
"05.03.2020","10,090","10,355","10,355","10,030","15,77M","-1,94%"
"04.03.2020","10,290","10,385","10,435","10,170","12,70M","-0,58%"
"03.03.2020","10,350","10,470","10,675","10,280","10,56M","1,32%"
"02.03.2020","10,215","10,510","10,515","9,972","19,08M","0,84%"
"28.02.2020","10,130","10,185","10,330","10,015","32,61M","-3,62%"
"27.02.2020","10,510","10,720","10,725","10,270","14,31M","-3,27%"
"26.02.2020","10,865","10,855","10,980","10,725","13,70M","-0,91%"
"25.02.2020","10,965","11,370","11,370","10,925","18,95M","-3,09%"
"24.02.2020","11,315","11,705","11,720","11,215","16,40M","-5,35%"
"21.02.2020","11,955","12,240","12,240","11,900","17,00M","-2,77%"
"20.02.2020","12,295","12,285","12,530","12,260","13,92M","-0,45%"
"19.02.2020","12,350","12,480","12,480","12,275","13,16M","0,04%"
"18.02.2020","12,345","12,500","12,535","12,340","7,08M","-1,44%"
"17.02.2020","12,525","12,565","12,650","12,515","5,10M","-0,99%"
"14.02.2020","12,650","12,685","12,770","12,620","3,68M","-0,12%"
"13.02.2020","12,665","12,750","12,750","12,545","5,69M","-0,82%"
"12.02.2020","12,770","12,785","12,895","12,760","6,46M","0,20%"
"11.02.2020","12,745","12,680","12,750","12,610","5,19M","1,23%"
"10.02.2020","12,590","12,750","12,765","12,590","6,96M","-1,29%"
"07.02.2020","12,755","12,830","12,830","12,710","5,93M","-0,55%"
"06.02.2020","12,825","12,930","12,970","12,745","22,07M","0,23%"
"05.02.2020","12,795","12,545","12,925","12,490","13,48M","1,71%"
"04.02.2020","12,580","12,380","12,595","12,350","8,25M","2,40%"
"03.02.2020","12,285","12,465","12,475","12,285","10,60M","-1,44%"
"31.01.2020","12,465","12,680","12,680","12,410","6,87M","-0,91%"
"30.01.2020","12,580","12,675","12,740","12,540","9,87M","-1,68%"
"29.01.2020","12,795","12,890","12,920","12,700","15,20M","0,20%"
"28.01.2020","12,770","12,710","12,820","12,590","10,67M","0,95%"
"27.01.2020","12,650","12,935","12,935","12,650","8,91M","-3,44%"
"24.01.2020","13,100","13,125","13,230","13,090","7,41M","-0,23%"
"23.01.2020","13,130","13,500","13,500","13,045","11,77M","-3,46%"
"22.01.2020","13,600","13,800","13,810","13,600","7,77M","-1,27%"
"21.01.2020","13,775","13,855","13,855","13,715","20,15M","-1,04%"
"20.01.2020","13,920","14,065","14,075","13,865","7,74M","-0,85%"
"17.01.2020","14,040","14,200","14,240","14,015","4,28M","-0,74%"
"16.01.2020","14,145","14,090","14,265","14,075","4,09M","0,32%"
"15.01.2020","14,100","14,215","14,240","14,045","4,02M","-0,95%"
"14.01.2020","14,235","14,245","14,280","14,175","5,80M","-0,07%"
"13.01.2020","14,245","14,350","14,350","14,135","8,26M","-0,52%"
"10.01.2020","14,320","14,250","14,405","14,135","3,76M","1,06%"
"09.01.2020","14,170","14,400","14,405","14,160","9,15M","-1,32%"
"08.01.2020","14,360","14,230","14,375","14,155","4,66M","0,91%"
"07.01.2020","14,230","14,365","14,420","14,230","6,81M","-0,84%"
"06.01.2020","14,350","14,260","14,475","14,260","3,96M","0,77%"
"03.01.2020","14,240","14,105","14,280","14,060","4,77M","1,24%"
"02.01.2020","14,065","14,030","14,135","13,975","5,58M","0,97%"
"31.12.2019","13,930","14,100","14,100","13,930","2,22M","-1,38%"
"30.12.2019","14,125","14,180","14,200","14,125","2,01M","-0,53%"
"27.12.2019","14,200","14,155","14,265","14,130","2,95M","0,32%"
"24.12.2019","14,155","14,155","14,155","14,040","1,26M","0,04%"
"23.12.2019","14,150","14,040","14,150","14,020","3,91M","0,46%"
"20.12.2019","14,085","13,955","14,095","13,955","22,04M","0,75%"
"19.12.2019","13,980","13,965","14,000","13,910","6,12M","0,00%"
"18.12.2019","13,980","13,960","14,115","13,945","8,82M","0,14%"
"17.12.2019","13,960","14,055","14,125","13,955","6,34M","-0,11%"
"16.12.2019","13,976","14,015","14,044","13,923","6,10M","0,52%"
"13.12.2019","13,904","14,073","14,107","13,865","7,43M","-0,34%"
"12.12.2019","13,952","13,967","14,015","13,763","8,37M","0,17%"
"11.12.2019","13,928","13,986","14,040","13,923","5,32M","0,00%"
"10.12.2019","13,928","13,981","14,015","13,812","5,34M","-0,76%"
"09.12.2019","14,035","14,229","14,234","14,006","5,06M","-1,20%"
"06.12.2019","14,205","13,962","14,253","13,923","5,89M","-0,94%"
"05.12.2019","14,340","14,410","14,500","14,330","8,46M","-0,07%"
"04.12.2019","14,350","14,090","14,390","14,090","12,60M","1,81%"
"03.12.2019","14,095","14,100","14,130","13,975","7,68M","-0,35%"
"02.12.2019","14,145","14,310","14,415","14,080","6,24M","-1,01%"
"29.11.2019","14,290","14,360","14,435","14,250","4,25M","-0,80%"
"28.11.2019","14,405","14,485","14,525","14,385","4,33M","-0,66%"
"27.11.2019","14,500","14,665","14,670","14,470","3,34M","-0,62%"
"26.11.2019","14,590","14,690","14,690","14,550","15,23M","-0,61%"
"25.11.2019","14,680","14,700","14,750","14,635","3,49M","0,55%"
"22.11.2019","14,600","14,470","14,700","14,470","5,35M","1,07%"
"21.11.2019","14,445","14,455","14,505","14,365","5,19M","-0,69%"
"20.11.2019","14,545","14,550","14,590","14,380","4,47M","-0,48%"
"19.11.2019","14,615","14,615","14,755","14,555","4,16M","-0,10%"
"18.11.2019","14,630","14,680","14,785","14,580","4,59M","-0,41%"
"15.11.2019","14,690","14,685","14,770","14,555","4,97M","0,65%"
"14.11.2019","14,595","14,670","14,780","14,595","5,30M","-0,85%"
"13.11.2019","14,720","14,880","14,905","14,625","8,38M","-2,00%"
"12.11.2019","15,020","15,095","15,190","14,935","4,52M","-0,07%"
"11.11.2019","15,030","15,040","15,070","14,865","7,65M","-0,07%"
"08.11.2019","15,040","15,160","15,160","14,880","4,93M","-0,69%"
"07.11.2019","15,145","15,130","15,245","14,920","10,94M","0,10%"
"06.11.2019","15,130","15,350","15,410","15,090","14,96M","-1,85%"
"05.11.2019","15,415","15,455","15,665","15,385","10,04M","-0,36%"
"04.11.2019","15,470","15,265","15,590","15,195","6,92M","2,15%"
"01.11.2019","15,145","15,080","15,200","15,005","6,87M","3,03%"
"31.10.2019","14,700","14,855","15,310","14,670","17,40M","-1,61%"
"30.10.2019","14,940","15,015","15,095","14,860","6,91M","-0,73%"
"29.10.2019","15,050","15,085","15,115","14,905","5,34M","-0,43%"
"28.10.2019","15,115","15,040","15,190","15,000","4,45M","0,83%"
"25.10.2019","14,990","14,925","15,035","14,890","3,64M","0,44%"
"24.10.2019","14,925","14,800","15,000","14,780","4,30M","1,02%"
"23.10.2019","14,775","14,555","14,785","14,555","4,08M","1,20%"
"22.10.2019","14,600","14,625","14,690","14,565","7,78M","0,21%"
"21.10.2019","14,570","14,470","14,670","14,465","4,95M","0,48%"
"18.10.2019","14,500","14,665","14,745","14,460","6,76M","-1,19%"
"17.10.2019","14,675","14,660","14,955","14,635","8,91M","-0,41%"
"16.10.2019","14,735","14,660","14,825","14,570","5,64M","0,14%"
"15.10.2019","14,715","14,590","14,775","14,505","8,82M","1,31%"
"14.10.2019","14,525","14,430","14,540","14,370","4,04M","-0,21%"
"11.10.2019","14,555","14,365","14,555","14,360","6,19M","1,71%"
"10.10.2019","14,310","14,045","14,375","14,020","5,43M","1,56%"
"09.10.2019","14,090","13,815","14,165","13,765","4,72M","1,08%"
"08.10.2019","13,940","14,120","14,180","13,795","3,76M","-1,10%"
"07.10.2019","14,095","13,830","14,095","13,745","5,86M","2,25%"
"04.10.2019","13,785","13,780","13,870","13,705","4,51M","0,36%"
"03.10.2019","13,735","13,950","13,950","13,625","6,15M","-1,68%"
"02.10.2019","13,970","14,320","14,320","13,970","9,00M","-2,34%"
"01.10.2019","14,305","14,350","14,450","14,230","4,24M","-0,24%"
"30.09.2019","14,340","14,315","14,430","14,215","5,13M","0,24%"
"27.09.2019","14,305","14,225","14,435","14,225","6,20M","1,06%"
"26.09.2019","14,155","14,035","14,265","14,035","4,21M","0,50%"
"25.09.2019","14,085","14,055","14,140","13,910","8,07M","-0,56%"
"24.09.2019","14,165","14,350","14,375","14,090","4,38M","-0,98%"
"23.09.2019","14,305","14,255","14,330","14,135","4,59M","0,67%"
"20.09.2019","14,210","14,215","14,340","14,075","12,50M","-0,35%"
"19.09.2019","14,260","14,075","14,335","13,975","7,26M","1,39%"
"18.09.2019","14,065","13,920","14,145","13,860","6,99M","0,36%"
"17.09.2019","14,015","14,220","14,285","13,820","13,14M","-0,85%"
"16.09.2019","14,135","14,255","14,415","14,095","10,03M","1,07%"
"13.09.2019","13,985","13,850","14,100","13,830","6,73M","1,08%"
"12.09.2019","13,835","14,005","14,010","13,690","6,15M","-1,28%"
"11.09.2019","14,015","14,225","14,270","14,005","4,65M","-0,99%"
