fecha,per,bpa,rentabilidad_por_dividendo,precio_div_cash_flow,precio_valor_contable,ebitda,b_neto
2020-04-02,"8,65","0,85","10,82","2,34","0,43","5.887,08","1.523,21"
2020-04-03,"8,65","0,85","11,26","2,34","0,43","5.887,08","1.523,21"
2020-04-06,"10,1","0,82","11,34","2,69","0,49","5.602,93","1.391,86"
2020-04-07,"10,1","0,82","10,98","2,69","0,49","5.602,93","1.391,86"
2020-04-08,"10,1","0,82","11,11","2,69","0,49","5.602,93","1.391,86"
2020-04-09,"10,1","0,82","11,21","2,69","0,49","5.602,93","1.391,86"
2020-04-09,"12,95","0,64","11,21","2,82","0,5","5.052,38","1.131,28"
2020-04-14,"12,95","0,64","11,55","2,82","0,5","5.052,38","1.131,28"
2020-04-15,"12,95","0,64","12,49","2,82","0,5","5.052,38","1.131,28"
2020-04-16,"12,95","0,64","12,67","2,82","0,5","5.052,38","1.131,28"
2020-04-17,"12,95","0,64","11,93","2,82","0,5","5.052,38","1.131,28"
2020-04-21,"13,42","0,58","12,76","2,65","0,47","4.820,97","1.041,5"
2020-04-22,"13,42","0,58","12,56","2,65","0,47","4.820,97","1.041,5"
2020-04-23,"13,42","0,58","11,85","2,65","0,47","4.820,97","1.041,5"
2020-04-24,"13,42","0,58","12,00","2,65","0,47","4.820,97","1.041,5"
2020-04-27,"16,13","0,48","11,89","2,83","0,48",4.501,"814,71"
2020-04-28,"16,13","0,48","11,74","2,83","0,48",4.501,"814,71"
2020-04-29,"16,13","0,48","10,93","2,83","0,48",4.501,"814,71"
2020-04-30,"16,13","0,48","11,17","2,83","0,48",4.501,"814,71"
2020-04-30,"16,13","0,48","11,17","2,83","0,48",4.501,"814,71"
