fecha,ultimo,apertura,maximo,minimo,vol,variacion
2020-07-31,"1,809","1,913","1,922","1,809",,"-4,20%"
2020-07-30,"1,888","2,004","2,010","1,874","95,14M","-5,74%"
2020-07-29,"2,003","2,070","2,085","1,980","81,42M","-4,71%"
2020-07-28,"2,102","2,067","2,114","2,065","47,43M","1,33%"
2020-07-27,"2,075","2,110","2,113","2,052","54,37M","-2,40%"
2020-07-24,"2,126","2,101","2,150","2,086","40,07M","0,38%"
2020-07-23,"2,118","2,156","2,172","2,109","56,82M","-1,53%"
2020-07-22,"2,151","2,195","2,219","2,139","47,66M","-2,12%"
2020-07-21,"2,197","2,228","2,313","2,184","70,24M","-0,57%"
2020-07-20,"2,210","2,210","2,217","2,172","35,41M","-0,23%"
2020-07-17,"2,215","2,252","2,259","2,188","70,65M","-2,01%"
2020-07-16,"2,260","2,264","2,292","2,237","36,43M","-0,29%"
2020-07-15,"2,267","2,243","2,299","2,177","80,23M","1,93%"
2020-07-14,"2,224","2,235","2,244","2,191","40,77M","-0,98%"
2020-07-13,"2,246","2,264","2,280","2,219","39,59M","1,17%"
2020-07-10,"2,220","2,150","2,220","2,145","43,50M","2,09%"
2020-07-09,"2,174","2,236","2,245","2,173","62,41M","-1,87%"
2020-07-08,"2,216","2,247","2,257","2,209","42,39M","-2,27%"
2020-07-07,"2,267","2,310","2,323","2,267","47,47M","-2,97%"
2020-07-06,"2,337","2,311","2,381","2,300","60,74M","4,92%"
2020-07-03,"2,227","2,283","2,297","2,203","40,32M","-2,54%"
2020-07-02,"2,286","2,183","2,325","2,164","83,15M","6,65%"
2020-07-01,"2,143","2,177","2,195","2,121","44,39M","-1,45%"
