fecha,ultimo,apertura,maximo,minimo,vol,variacion
2020-03-16,"2,018","2,190","2,199","1,928","197,50M","-10,59%"
2020-03-13,"2,257","2,371","2,611","2,191","154,35M","-0,97%"
2020-03-12,"2,279","2,619","2,625","2,269","224,41M","-16,82%"
2020-03-11,"2,740","2,701","2,849","2,676","124,36M","3,32%"
2020-03-10,"2,652","2,747","2,894","2,621","134,40M","-1,04%"
2020-03-09,"2,680","2,900","2,901","2,635","199,00M","-11,99%"
2020-03-06,"3,045","3,053","3,087","2,982","123,94M","-2,62%"
2020-03-05,"3,127","3,325","3,325","3,097","113,38M","-5,13%"
2020-03-04,"3,296","3,260","3,313","3,191","78,46M","1,85%"
2020-03-03,"3,236","3,300","3,380","3,215","143,19M","-0,58%"
2020-03-02,"3,255","3,410","3,414","3,163","102,76M","-2,16%"
2020-02-28,"3,327","3,333","3,371","3,256","127,51M","-2,72%"
2020-02-27,"3,420","3,491","3,509","3,360","103,47M","-3,55%"
2020-02-26,"3,546","3,500","3,584","3,440","96,26M","1,05%"
2020-02-25,"3,509","3,638","3,638","3,502","71,38M","-3,07%"
2020-02-24,"3,620","3,650","3,688","3,587","63,99M","-4,28%"
2020-02-21,"3,782","3,812","3,837","3,747","62,07M","-1,74%"
2020-02-20,"3,849","3,910","3,930","3,849","43,04M","-1,74%"
2020-02-19,"3,917","3,922","3,954","3,897","33,43M","0,54%"
2020-02-18,"3,896","3,946","3,955","3,894","44,88M","-1,44%"
2020-02-17,"3,953","3,938","3,964","3,932","23,35M","0,74%"
2020-02-14,"3,924","3,946","3,950","3,920","59,58M","-0,38%"
2020-02-13,"3,939","3,906","3,942","3,877","57,84M","-0,40%"
2020-02-12,"3,955","3,871","3,955","3,865","59,31M","2,20%"
2020-02-11,"3,870","3,853","3,870","3,812","44,88M","0,86%"
2020-02-10,"3,837","3,837","3,872","3,811","36,19M","-0,57%"
2020-02-07,"3,859","3,812","3,859","3,793","60,10M","0,76%"
2020-02-06,"3,830","3,836","3,868","3,780","74,20M","0,95%"
2020-02-05,"3,794","3,660","3,794","3,660","54,93M","2,79%"
2020-02-04,"3,691","3,597","3,698","3,586","51,07M","3,62%"
2020-02-03,"3,562","3,577","3,598","3,519","37,44M","0,23%"
2020-01-31,"3,554","3,692","3,706","3,553","64,52M","-3,08%"
2020-01-30,"3,667","3,660","3,705","3,635","45,91M","-1,11%"
2020-01-29,"3,708","3,686","3,735","3,640","80,55M","4,42%"
