fecha,SAN_ultimo,SAN_per,SAN_bpa,SAN_rentabilidad_por_dividendo,SAN_precio_valor_contable,SAN_ebitda
2015-02-12,"5,910",,,,,
2015-02-13,"6,057",,,,,
2015-02-16,"6,049",,,,,
2015-02-17,"6,074",,,,,
2015-02-18,"6,174",,,,,
2015-02-19,"6,215",,,,,
2015-02-20,"6,171",,,,,
2015-02-23,"6,212",,,,,
2015-02-24,"6,221",,,,,
2015-02-25,"6,184",,,,,
2015-02-26,"6,260",,,,,
2015-02-27,"6,292",,,,,
2015-03-02,"6,300",,,,,
2015-03-03,"6,192",,,,,
2015-03-04,"6,257",,,,,
2015-03-05,"6,293",,,,,
2015-03-06,"6,240",,,,,
2015-03-09,"6,241",,,,,
2015-03-10,"6,080",,,,,
2015-03-11,"6,171",,,,,
2015-03-12,"6,202",,,,,
2015-03-13,"6,188",,,,,
2015-03-16,"6,246",,,,,
2015-03-17,"6,221",,,,,
2015-03-18,"6,216",,,,,
2015-03-19,"6,247",,,,,
2015-03-20,"6,549",,,,,
2015-03-23,"6,581",,,,,
2015-03-24,"6,681",,,,,
2015-03-25,"6,608",,,,,
2015-03-26,"6,659",,,,,
2015-03-27,"6,628",,,,,
2015-03-30,"6,725",,,,,
2015-03-31,"6,758",,,,,
2015-04-01,"6,760",,,,,
2015-04-02,"6,812",,,,,
2015-04-07,"6,860",,,,,
2015-04-08,"6,794",,,,,
2015-04-09,"6,817",,,,,
2015-04-10,"6,799",,,,,
2015-04-13,"6,888",,,,,
2015-04-14,"6,718",,,,,
2015-04-15,"6,760",,,,,
2015-04-16,"6,633",,,,,
2015-04-17,"6,430",,,,,
2015-04-20,"6,455",,,,,
2015-04-21,"6,430",,,,,
2015-04-22,"6,430",,,,,
2015-04-23,"6,450",,,,,
2015-04-24,"6,532",,,,,
2015-04-27,"6,638",,,,,
2015-04-28,"6,717",,,,,
2015-04-29,"6,603",,,,,
2015-04-30,"6,625",,,,,
2015-05-04,"6,618",,,,,
2015-05-05,"6,393",,,,,
2015-05-06,"6,462",,,,,
2015-05-07,"6,476",,,,,
2015-05-08,"6,668",,,,,
2015-05-11,"6,659",,,,,
2015-05-12,"6,561",,,,,
2015-05-13,"6,537",,,,,
2015-05-14,"6,599",,,,,
2015-05-15,"6,514",,,,,
2015-05-18,"6,485",,,,,
2015-05-19,"6,590",,,,,
2015-05-20,"6,633",,,,,
2015-05-21,"6,651",,,,,
2015-05-22,"6,628",,,,,
2015-05-25,"6,486",,,,,
2015-05-26,"6,423",,,,,
2015-05-27,"6,537",,,,,
2015-05-28,"6,463",,,,,
2015-05-29,"6,366",,,,,
2015-06-01,"6,337",,,,,
2015-06-02,"6,427",,,,,
2015-06-03,"6,483",,,,,
2015-06-04,"6,452",,,,,
2015-06-05,"6,416",,,,,
2015-06-08,"6,323",,,,,
2015-06-09,"6,326",,,,,
2015-06-10,"6,342",,,,,
2015-06-11,"6,350",,,,,
2015-06-12,"6,258",,,,,
2015-06-15,"6,122",,,,,
2015-06-16,"6,117",,,,,
2015-06-17,"6,083",,,,,
2015-06-18,"6,135",,,,,
2015-06-19,"6,186",,,,,
2015-06-22,"6,553",,,,,
2015-06-23,"6,567",,,,,
2015-06-24,"6,496",,,,,
2015-06-25,"6,503",,,,,
2015-06-26,"6,546",,,,,
2015-06-29,"6,108",,,,,
2015-06-30,"6,049",,,,,
2015-07-01,"6,186",,,,,
2015-07-02,"6,145",,,,,
2015-07-03,"6,098",,,,,
2015-07-06,"5,926",,,,,
2015-07-07,"5,792",,,,,
2015-07-08,"5,824",,,,,
2015-07-09,"6,029",,,,,
2015-07-10,"6,255",,,,,
2015-07-13,"6,389",,,,,
2015-07-14,"6,352",,,,,
2015-07-15,"6,402",,,,,
2015-07-16,"6,532",,,,,
2015-07-17,"6,482",,,,,
2015-07-20,"6,528",,,,,
2015-07-21,"6,455",,,,,
2015-07-22,"6,485",,,,,
2015-07-23,"6,443",,,,,
2015-07-24,"6,326",,,,,
2015-07-27,"6,186",,,,,
2015-07-28,"6,247",,,,,
2015-07-29,"6,275",,,,,
2015-07-30,"6,061",,,,,
2015-07-31,"6,068",,,,,
2015-08-03,"6,057",,,,,
2015-08-04,"5,975",,,,,
2015-08-05,"6,059",,,,,
2015-08-06,"6,041",,,,,
2015-08-07,"5,991",,,,,
2015-08-10,"6,089",,,,,
2015-08-11,"5,979",,,,,
2015-08-12,"5,811",,,,,
2015-08-13,"5,794",,,,,
2015-08-14,"5,732",,,,,
2015-08-17,"5,741",,,,,
2015-08-18,"5,721",,,,,
2015-08-19,"5,665",,,,,
2015-08-20,"5,581",,,,,
2015-08-21,"5,405",,,,,
2015-08-24,"5,028",,,,,
2015-08-25,"5,244",,,,,
2015-08-26,"5,127",,,,,
2015-08-27,"5,324",,,,,
2015-08-28,"5,373",,,,,
2015-08-31,"5,272",,,,,
2015-09-01,"5,125",,,,,
2015-09-02,"5,110",,,,,
2015-09-03,"5,147",,,,,
2015-09-04,"5,000",,,,,
2015-09-07,"4,987",,,,,
2015-09-08,"4,996",,,,,
2015-09-09,"5,107",,,,,
2015-09-10,"4,938",,,,,
2015-09-11,"4,857",,,,,
2015-09-14,"4,835",,,,,
2015-09-15,"4,877",,,,,
2015-09-16,"4,975",,,,,
2015-09-17,"5,054",,,,,
2015-09-18,"4,877",,,,,
2015-09-21,"4,879",,,,,
2015-09-22,"4,672",,,,,
2015-09-23,"4,574",,,,,
2015-09-24,"4,421",,,,,
2015-09-25,"4,523",,,,,
2015-09-28,"4,439",,,,,
2015-09-29,"4,470",,,,,
2015-09-30,"4,549",,,,,
2015-10-01,"4,538",,,,,
2015-10-02,"4,571",,,,,
2015-10-05,"4,776",,,,,
2015-10-06,"4,911",,,,,
2015-10-07,"5,031",,,,,
2015-10-08,"5,001",,,,,
2015-10-09,"5,149",,,,,
2015-10-12,"5,066",,,,,
2015-10-13,"4,929",,,,,
2015-10-14,"4,838",,,,,
2015-10-15,"4,829",,,,,
2015-10-16,"4,977",,,,,
2015-10-19,"4,938",,,,,
2015-10-20,"4,862",,,,,
2015-10-21,"4,885",,,,,
2015-10-22,"5,043",,,,,
2015-10-23,"5,096",,,,,
2015-10-26,"5,051",,,,,
2015-10-27,"4,968",,,,,
2015-10-28,"5,031",,,,,
2015-10-29,"4,916",,,,,
2015-10-30,"4,931",,,,,
2015-11-02,"4,975",,,,,
2015-11-03,"5,023",,,,,
2015-11-04,"5,100",,,,,
2015-11-05,"5,034",,,,,
2015-11-06,"5,129",,,,,
2015-11-09,"5,021",,,,,
2015-11-10,"5,003",,,,,
2015-11-11,"5,047",,,,,
2015-11-12,"4,861",,,,,
2015-11-13,"4,832",,,,,
2015-11-16,"4,787",,,,,
2015-11-17,"4,942",,,,,
2015-11-18,"4,935",,,,,
2015-11-19,"5,033",,,,,
2015-11-20,"4,992",,,,,
2015-11-23,"5,003",,,,,
2015-11-24,"5,019",,,,,
2015-11-25,"4,919",,,,,
2015-11-26,"5,001",,,,,
2015-11-27,"4,947",,,,,
2015-11-30,"4,996",,,,,
2015-12-01,"4,999",,,,,
2015-12-02,"4,928",,,,,
2015-12-03,"4,778",,,,,
2015-12-04,"4,794",,,,,
2015-12-07,"4,708",,,,,
2015-12-08,"4,576",,,,,
2015-12-09,"4,577",,,,,
2015-12-10,"4,547",,,,,
2015-12-11,"4,454",,,,,
2015-12-14,"4,297",,,,,
2015-12-15,"4,479",,,,,
2015-12-16,"4,513",,,,,
2015-12-17,"4,628",,,,,
2015-12-18,"4,548",,,,,
2015-12-21,"4,327",,,,,
2015-12-22,"4,368",,,,,
2015-12-23,"4,493",,,,,
2015-12-24,"4,535",,,,,
2015-12-28,"4,429",,,,,
2015-12-29,"4,468",,,,,
2015-12-30,"4,458",,,,,
2015-12-31,"4,407",,,,,
2016-01-04,"4,270",,,,,
2016-01-05,"4,234",,,,,
2016-01-06,"4,097",,,,,
2016-01-07,"4,013",,,,,
2016-01-08,"3,905",,,,,
2016-01-11,"3,943",,,,,
2016-01-12,"3,994",,,,,
2016-01-13,"4,009",,,,,
