"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"16.03.2020","2,018","2,190","2,199","1,928","197,50M","-10,59%"
"13.03.2020","2,257","2,371","2,611","2,191","154,35M","-0,97%"
"12.03.2020","2,279","2,619","2,625","2,269","224,41M","-16,82%"
"11.03.2020","2,740","2,701","2,849","2,676","124,36M","3,32%"
"10.03.2020","2,652","2,747","2,894","2,621","134,40M","-1,04%"
"09.03.2020","2,680","2,900","2,901","2,635","199,00M","-11,99%"
"06.03.2020","3,045","3,053","3,087","2,982","123,94M","-2,62%"
"05.03.2020","3,127","3,325","3,325","3,097","113,38M","-5,13%"
"04.03.2020","3,296","3,260","3,313","3,191","78,46M","1,85%"
"03.03.2020","3,236","3,300","3,380","3,215","143,19M","-0,58%"
"02.03.2020","3,255","3,410","3,414","3,163","102,76M","-2,16%"
"28.02.2020","3,327","3,333","3,371","3,256","127,51M","-2,72%"
"27.02.2020","3,420","3,491","3,509","3,360","103,47M","-3,55%"
"26.02.2020","3,546","3,500","3,584","3,440","96,26M","1,05%"
"25.02.2020","3,509","3,638","3,638","3,502","71,38M","-3,07%"
"24.02.2020","3,620","3,650","3,688","3,587","63,99M","-4,28%"
"21.02.2020","3,782","3,812","3,837","3,747","62,07M","-1,74%"
"20.02.2020","3,849","3,910","3,930","3,849","43,04M","-1,74%"
"19.02.2020","3,917","3,922","3,954","3,897","33,43M","0,54%"
"18.02.2020","3,896","3,946","3,955","3,894","44,88M","-1,44%"
"17.02.2020","3,953","3,938","3,964","3,932","23,35M","0,74%"
"14.02.2020","3,924","3,946","3,950","3,920","59,58M","-0,38%"
"13.02.2020","3,939","3,906","3,942","3,877","57,84M","-0,40%"
"12.02.2020","3,955","3,871","3,955","3,865","59,31M","2,20%"
"11.02.2020","3,870","3,853","3,870","3,812","44,88M","0,86%"
"10.02.2020","3,837","3,837","3,872","3,811","36,19M","-0,57%"
"07.02.2020","3,859","3,812","3,859","3,793","60,10M","0,76%"
"06.02.2020","3,830","3,836","3,868","3,780","74,20M","0,95%"
