fecha,ultimo,apertura,maximo,minimo,vol,variacion
2020-06-30,"4,247","4,285","4,320","4,200","13,33M","-1,64%"
2020-06-29,"4,318","4,212","4,352","4,190","74,66M","2,52%"
2020-06-26,"4,212","4,352","4,380","4,193","17,04M","-2,00%"
2020-06-25,"4,298","4,194","4,319","4,145","24,05M","2,33%"
2020-06-24,"4,200","4,290","4,297","4,191","18,87M","-2,23%"
2020-06-23,"4,296","4,310","4,380","4,243","14,83M","0,59%"
2020-06-22,"4,271","4,411","4,413","4,259","22,44M","-3,37%"
2020-06-19,"4,420","4,402","4,433","4,379","51,05M","1,21%"
2020-06-18,"4,367","4,500","4,509","4,332","45,60M","-3,79%"
2020-06-17,"4,539","4,560","4,669","4,480","22,88M","-0,19%"
2020-06-16,"4,548","4,386","4,660","4,350","49,98M","6,04%"
2020-06-15,"4,288","4,303","4,320","4,182","28,59M","-1,65%"
2020-06-12,"4,360","4,299","4,450","4,283","64,88M","1,11%"
2020-06-11,"4,312","4,468","4,475","4,312","32,52M","-6,42%"
2020-06-10,"4,608","4,702","4,753","4,606","25,27M","-1,23%"
2020-06-09,"4,666","4,771","4,779","4,628","24,16M","-1,90%"
2020-06-08,"4,756","4,608","4,812","4,579","24,63M","1,81%"
2020-06-05,"4,671","4,511","4,725","4,483","29,92M","4,80%"
2020-06-04,"4,457","4,445","4,522","4,411","38,51M","-0,32%"
2020-06-03,"4,472","4,328","4,490","4,289","27,31M","4,44%"
2020-06-02,"4,282","4,243","4,324","4,195","29,37M","1,36%"
