"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"04.09.2014","11,661","11,425","11,694","11,406","18,34M","1,85%"
"03.09.2014","11,449","11,406","11,501","11,335","11,61M","0,84%"
"02.09.2014","11,354","11,430","11,449","11,293","12,18M","-0,33%"
"01.09.2014","11,392","11,430","11,463","11,340","5,38M","-0,08%"
"29.08.2014","11,401","11,449","11,453","11,255","14,09M","-0,17%"
"28.08.2014","11,420","11,482","11,534","11,368","11,15M","-0,38%"
"27.08.2014","11,463","11,430","11,524","11,430","8,98M","0,04%"
"26.08.2014","11,458","11,321","11,458","11,283","9,50M","0,83%"
"25.08.2014","11,364","11,288","11,392","11,241","9,90M","1,35%"
"22.08.2014","11,213","11,293","11,297","11,113","9,48M","-0,33%"
"21.08.2014","11,250","11,146","11,288","11,109","10,41M","0,93%"
"20.08.2014","11,146","11,175","11,179","11,066","7,08M","-0,21%"
"19.08.2014","11,170","11,222","11,227","11,127","8,73M","0,08%"
"18.08.2014","11,161","11,184","11,222","11,066","9,26M","0,81%"
"15.08.2014","11,071","11,127","11,264","11,024","13,08M","-0,30%"
"14.08.2014","11,104","11,094","11,127","10,995","9,07M","-0,05%"
"13.08.2014","11,109","11,099","11,184","11,047","9,28M","0,77%"
"12.08.2014","11,024","11,005","11,118","10,957","9,72M","0,17%"
"11.08.2014","11,005","11,047","11,071","10,948","8,56M","0,52%"
"08.08.2014","10,948","10,910","11,028","10,863","13,75M","-0,35%"
"07.08.2014","10,986","11,127","11,127","10,929","22,60M","-1,44%"
"06.08.2014","11,146","11,061","11,198","11,024","17,60M","0,13%"
"05.08.2014","11,132","11,146","11,231","11,071","24,71M","-1,71%"
"04.08.2014","11,326","11,439","11,439","11,283","14,57M","-0,70%"
"01.08.2014","11,406","11,553","11,553","11,354","15,09M","-1,11%"
"31.07.2014","11,534","11,600","11,770","11,425","19,67M","-1,17%"
"30.07.2014","11,671","11,652","11,756","11,619","10,06M","0,29%"
"29.07.2014","11,637","11,600","11,694","11,571","9,48M","0,65%"
"28.07.2014","11,562","11,557","11,633","11,529","9,78M","-0,08%"
"25.07.2014","11,571","11,571","11,647","11,524","16,60M","-0,21%"
"24.07.2014","11,595","11,444","11,604","11,392","11,01M","0,98%"
"23.07.2014","11,482","11,482","11,553","11,444","8,07M","-0,17%"
"22.07.2014","11,501","11,378","11,524","11,335","11,01M","1,25%"
"21.07.2014","11,359","11,434","11,453","11,321","10,93M","-0,62%"
"18.07.2014","11,430","11,345","11,430","11,288","11,91M","0,00%"
