fecha,per,bpa,rentabilidad_por_dividendo,precio_div_cash_flow,precio_valor_contable,ebitda,b_neto
2020-06-01,"8,48","0,5","9,09","1,82","1,17",15.173,"2.671,73"
2020-06-02,"8,48","0,5","8,97","1,82","1,17",15.173,"2.671,73"
2020-06-03,"8,48","0,5","8,59","1,82","1,17",15.173,"2.671,73"
2020-06-04,"8,48","0,5","8,62","1,82","1,17",15.173,"2.671,73"
2020-06-05,"8,48","0,5","8,22","1,82","1,17",15.173,"2.671,73"
2020-06-08,"9,93","0,49","8,07","2,08","1,34",15.173,"2.671,73"
2020-06-09,"9,93","0,49","8,23","2,08","1,34",15.173,"2.671,73"
2020-06-10,"9,93","0,49","8,33","2,08","1,34",15.173,"2.671,73"
2020-06-11,"9,93","0,49","8,90","2,08","1,34",15.173,"2.671,73"
2020-06-12,"9,93","0,49","8,81","2,08","1,34",15.173,"2.671,73"
2020-06-15,,,"8,95",,,,
2020-06-16,"9,15","0,5","8,44","1,97","1,25","15.160,37","2.538,88"
2020-06-17,"9,15","0,5","8,81","1,97","1,25","15.160,37","2.538,88"
2020-06-18,"9,15","0,5","9,16","1,97","1,25","15.160,37","2.538,88"
2020-06-19,"9,15","0,5","4,52","1,97","1,25","15.160,37","2.538,88"
2020-06-22,"8,9","0,5","4,68","1,91","1,22","15.160,37","2.538,88"
2020-06-23,"8,9","0,5","4,66","1,91","1,22","15.160,37","2.538,88"
2020-06-24,"8,9","0,5","4,76","1,91","1,22","15.160,37","2.538,88"
2020-06-25,"8,9","0,5","4,65","1,91","1,22","15.160,37","2.538,88"
2020-06-26,"8,9","0,5","4,75","1,91","1,22","15.160,37","2.538,88"
2020-06-29,"8,48","0,5","4,63","1,82","1,16","15.160,37","2.538,88"
2020-06-30,"8,48","0,5","4,71","1,82","1,16","15.160,37","2.538,88"
